date,cash,reserved_cash,market_value,nav,peak_nav,drawdown,holdings
20240130,574182.8487500006,0,339400.0,913582.8487500006,1276947.5497500002,-0.28455726397778747,2
20240131,574182.8487500006,0,341900.0,916082.8487500006,1276947.5497500002,-0.2825994701745185,2
20240201,573413.6937500006,0,330900.0,904313.6937500006,1276947.5497500002,-0.29181610166600314,2
20240202,573413.6937500006,0,336600.0,910013.6937500006,1276947.5497500002,-0.28735233179455,2
20240205,573413.6937500006,0,303700.0,877113.6937500006,1276947.5497500002,-0.3131168982455692,2
20240215,722351.7137500006,0,165900.0,888251.7137500006,1276947.5497500002,-0.3043945196308949,1
20240216,722351.7137500006,0,182400.0,904751.7137500006,1276947.5497500002,-0.29147308052931997,1
20240219,575689.7637500005,0,363000.0,938689.7637500005,1276947.5497500002,-0.26489559893530756,2
20240220,575689.7637500005,0,350200.0,925889.7637500005,1276947.5497500002,-0.2749195032080445,2
20240221,575689.7637500005,0,372200.0,947889.7637500005,1276947.5497500002,-0.2576909177392779,2
20240222,575689.7637500005,0,368000.0,943689.7637500005,1276947.5497500002,-0.2609800113287697,2
20240223,575689.7637500005,0,374000.0,949689.7637500005,1276947.5497500002,-0.25628130620092426,2
20240226,575689.7637500005,0,397900.0,973589.7637500005,1276947.5497500002,-0.23756479744167325,2
20240227,575689.7637500005,0,409500.0,985189.7637500005,1276947.5497500002,-0.22848063419450537,2
20240229,575689.7637500005,0,424000.0,999689.7637500005,1276947.5497500002,-0.21712543013554553,2
20240301,575689.7637500005,0,401800.0,977489.7637500005,1276947.5497500002,-0.23451063910857373,2
20240304,575689.7637500005,0,410000.0,985689.7637500005,1276947.5497500002,-0.2280890754338516,2
20240305,646253.5037500004,0,333700.0,979953.5037500004,1276947.5497500002,-0.23258124114662748,2
20240306,646253.5037500004,0,336200.0,982453.5037500004,1276947.5497500002,-0.2306234473433585,2
20240307,646253.5037500004,0,334600.0,980853.5037500004,1276947.5497500002,-0.23187643537745062,2
20240308,646253.5037500004,0,314200.0,960453.5037500004,1276947.5497500002,-0.2478520328121251,2
20240311,811812.6362500004,0,143600.0,955412.6362500004,1276947.5497500002,-0.251799624473965,1
20240312,811812.6362500004,0,157800.0,969612.6362500004,1276947.5497500002,-0.24067935567139742,1
20240313,811812.6362500004,0,173400.0,985212.6362500004,1276947.5497500002,-0.22846272233899934,1
20240314,811812.6362500004,0,175400.0,987212.6362500004,1276947.5497500002,-0.22689648729638412,1
20240315,811812.6362500004,0,161600.0,973412.6362500004,1276947.5497500002,-0.2377035090904287,1
